7.243,0.502,0.1,10,3,3,0.1,3000
7.41,0.502,0.1,10,3,3,0.5,3000
7.529,0.502,0.1,10,3,3,1,3000
6.312,0.502,0.101,10,7,3,1,3000
0.3,0.502,0.102,1,7,3,3,3000
2.581,0.502,0.101,3,3,3,3,3000
4.769,0.502,0.1,10,3,3,3,3000
0.493,0.502,0.1,10,7,3,3,3000
7.537,0.502,0.1,10,17,3,3,3000
7.239,0.502,0.1,10,3,7,0.1,3000
7.478,0.502,0.101,10,3,7,0.5,3000
7.369,0.502,0.101,10,3,7,1,3000
4.184,0.502,0.101,3,7,7,3,3000
7.606,0.502,0.1,10,3,7,3,3000
6.98,0.502,0.101,10,7,7,3,3000
6.372,0.502,0.101,10,17,7,3,3000
7.48,0.502,0.101,10,3,15,0.1,3000
7.506,0.502,0.1,10,3,15,0.5,3000
7.375,0.502,0.101,10,3,15,1,3000
7.597,0.502,0.101,10,3,15,3,3000
5.357,0.503,0.101,10,17,3,1,3000
3.736,0.503,0.101,3,7,3,3,3000
3.964,0.503,0.101,3,17,3,3,3000
6.27,0.503,0.101,10,7,7,1,3000
3.378,0.503,0.101,3,3,7,3,3000
6.555,0.503,0.101,10,7,15,3,3000
5.953,0.504,0.101,10,7,3,0.1,3000
3.537,0.504,0.102,3,3,3,1,3000
6.022,0.504,0.101,10,7,7,0.1,3000
5.962,0.504,0.101,10,7,15,0.5,3000
6.045,0.504,0.101,10,7,15,1,3000
4.655,0.504,0.102,10,17,15,3,3000
3.667,0.505,0.102,3,3,3,0.5,3000
6.057,0.505,0.101,10,7,3,0.5,3000
5.963,0.505,0.101,10,7,7,0.5,3000
6.048,0.505,0.101,10,7,15,0.1,3000
3.656,0.505,0.101,3,3,15,3,3000
3.579,0.506,0.101,3,3,3,0.1,3000
3.392,0.506,0.103,3,7,3,1,3000
3.718,0.506,0.101,3,3,7,0.1,3000
3.92,0.506,0.101,3,3,7,0.5,3000
3.705,0.506,0.101,3,3,7,1,3000
3.797,0.506,0.101,3,3,15,0.1,3000
3.635,0.506,0.101,3,3,15,0.5,3000
3.671,0.506,0.101,3,3,15,1,3000
3.734,0.508,0.103,10,17,3,0.5,3000
3.71,0.508,0.103,10,17,7,1,3000
2.904,0.508,0.103,3,17,7,3,3000
3.09,0.51,0.103,3,7,15,3,3000
3.556,0.511,0.101,10,17,3,0.1,3000
3.609,0.511,0.101,10,17,7,0.1,3000
3.601,0.511,0.101,10,17,7,0.5,3000
3.631,0.511,0.101,10,17,15,0.1,3000
3.6,0.511,0.101,10,17,15,0.5,3000
3.613,0.511,0.101,10,17,15,1,3000
1.988,0.512,0.105,3,17,3,1,3000
0.265,0.512,0.102,1,3,3,3,3000
0.276,0.512,0.104,1,17,3,3,3000
2.914,0.513,0.101,3,7,3,0.1,3000
2.929,0.513,0.102,3,7,7,1,3000
2.94,0.513,0.101,3,7,15,0.1,3000
2.915,0.513,0.102,3,7,15,1,3000
2.894,0.514,0.101,3,7,3,0.5,3000
0.87,0.514,0.102,1,3,3,1,3000
2.891,0.514,0.101,3,7,7,0.1,3000
2.902,0.514,0.101,3,7,7,0.5,3000
0.266,0.514,0.103,1,3,7,3,3000
2.897,0.514,0.101,3,7,15,0.5,3000
0.804,0.515,0.102,1,3,3,0.1,3000
0.26,0.515,0.101,1,3,3,0.5,3000
0.261,0.515,0.101,1,3,7,0.1,3000
0.264,0.515,0.101,1,3,7,0.5,3000
0.263,0.515,0.101,1,3,7,1,3000
0.264,0.515,0.101,1,3,15,0.1,3000
0.264,0.515,0.102,1,3,15,0.5,3000
0.264,0.515,0.101,1,3,15,1,3000
0.273,0.515,0.106,1,3,15,3,3000
0.271,0.516,0.105,1,7,7,3,3000
1.706,0.517,0.104,3,17,15,3,3000
1.521,0.52,0.105,3,17,7,1,3000
0.259,0.52,0.11,1,17,7,3,3000
1.401,0.523,0.104,3,17,3,0.5,3000
0.26,0.524,0.106,1,7,3,1,3000
1.395,0.525,0.102,3,17,3,0.1,3000
1.399,0.525,0.101,3,17,7,0.1,3000
1.396,0.525,0.102,3,17,7,0.5,3000
1.404,0.525,0.102,3,17,15,0.1,3000
1.406,0.525,0.102,3,17,15,0.5,3000
1.419,0.525,0.102,3,17,15,1,3000
0.272,0.526,0.102,1,7,7,0.5,3000
0.263,0.527,0.102,1,7,3,0.1,3000
0.244,0.527,0.109,1,17,3,1,3000
0.278,0.527,0.102,1,7,7,0.1,3000
0.262,0.527,0.103,1,7,7,1,3000
0.269,0.527,0.102,1,7,15,0.1,3000
0.262,0.527,0.102,1,7,15,0.5,3000
0.278,0.527,0.101,1,7,15,1,3000
0.27,0.527,0.104,1,7,15,3,3000
0.271,0.528,0.102,1,7,3,0.5,3000
0.277,0.536,0.105,1,17,15,3,3000
0.272,0.539,0.108,1,17,3,0.5,3000
0.29,0.54,0.107,1,17,7,1,3000
0.278,0.541,0.103,1,17,3,0.1,3000
0.281,0.541,0.102,1,17,7,0.1,3000
0.285,0.541,0.103,1,17,15,0.1,3000
0.285,0.541,0.103,1,17,15,0.5,3000
0.298,0.542,0.103,1,17,7,0.5,3000
0.287,0.542,0.103,1,17,15,1,3000
